"ID";"site";"chamber.nr";"linear.f0";"linear.f0.se";"linear.f0.p";"linear.C0";"linear.AIC";"linear.AICc";"linear.RSE";"linear.r";"linear.diagnostics";"robust.linear.f0";"robust.linear.f0.se";"robust.linear.f0.p";"robust.linear.C0";"robust.linear.weights";"robust.linear.diagnostics";"HMR.f0";"HMR.f0.se";"HMR.f0.p";"HMR.kappa";"HMR.phi";"HMR.AIC";"HMR.AICc";"HMR.RSE";"HMR.diagnostics";"day";"month";"year";"f.detect.n2o";"f.detect.co2";"f.detect.ch4";"t.meas";"kappa.max";"dynamic.kappa.f0";"flux.se";"flux.p";"method";"date";"time";"treatment_fact2";"height [cm]";"diameter [cm]";"treatment_fact1";"sub_factor";"treatment_fact3";"block"
"12_04_18_CS10_11";"CS10";11;-0.0307006962517037;0.00193068201347527;0.00393149764501265;1.28432682957125;-17.5577810341602;Inf;0.0180053278683919;-0.996068502354987;"";-0.0307006962517037;0.00193068201347527;0.00393149764501265;1.28432682957125;"1,1,1,1";"";-0.0335582880801281;0.0102341207016422;0.18844331480131;0.292176568227005;-1.00909676522485;-15.8651179987083;-55.8651179987083;0.024503701223775;"";"12";"04";"18";0.003;0.003;0.0025;0.616666666666669;-19.9139651362402;-0.0307006962517037;0.00193068201347527;0.00393149764501265;"robust linear";2018-04-12;"9:26";"c2";5;25;"oat";"100";"interrow";"2"
"12_04_18_CS10_12";"CS10";12;-0.031228652405981;0.00660024156991012;0.0418833476208396;1.24751681416681;-7.91091025836037;Inf;0.0601310624289731;-0.958116652379161;"";-0.031228652405981;0.00660024156991012;0.0418833476208396;1.24751681416681;"1,1,1,1";"";-0.0812363330264787;0.0113356824320125;0.0882637200906682;3.80861663905723;0.868074843693538;-20.1687098981738;-60.1687098981738;0.0143088065313377;"";"12";"04";"18";0.003;0.003;0.0025;0.6;-20.8191016039873;-0.031228652405981;0.00660024156991012;0.0418833476208396;"robust linear";2018-04-12;"9:28";"c2";5;25;"oat";"50";"interrow";"2"
"12_04_18_CS10_13";"CS10";13;-0.0341199215222587;0.00698996440315535;0.0394995438091569;1.26329457258465;-7.93062590757441;Inf;0.0599830545166744;-0.960500456190843;"";-0.0341199215222587;0.00698996440315535;0.0394995438091569;1.26329457258465;"1,1,1,1";"";-0.0776823264050894;0.0203101841404273;0.162801151375472;3.33597817394375;0.839429290145762;-14.6937808566586;-54.6937808566586;0.0283674204455026;"";"12";"04";"18";0.003;0.003;0.0025;0.583333333333336;-23.396517615263;-0.0341199215222587;0.00698996440315535;0.0394995438091569;"robust linear";2018-04-12;"9:29";"a3";5;25;"no cover";"50";"interrow";"3"
"12_04_18_CS10_14";"CS10";14;-0.0360283933648115;0.0172313985300827;0.171681687831058;1.26826032539031;-0.784116704476062;Inf;0.146551330803295;-0.828318312168942;"";-0.0360283933648115;0.0172313985300827;0.171681687831058;1.26826032539031;"1,1,1,1";"";NA;NA;NA;NA;NA;NA;NA;NA;"Fehlender Wert oder etwas Unendliches durch das Modell erzeugt";"12";"04";"18";0.003;0.003;0.0025;0.566666666666667;-25.4318070810434;-0.0360283933648115;0.0172313985300827;0.171681687831058;"robust linear";2018-04-12;"9:30";"a3";5;25;"no cover";"100";"interrow";"3"
"12_04_18_CS10_15";"CS10";15;-0.0423037303876006;0.00353995483414513;0.00692955855316978;1.24826291466172;-13.6483039954869;Inf;0.0293517548991606;-0.99307044144683;"";-0.0423037303876006;0.00353995483414513;0.00692955855316978;1.24826291466172;"1,1,1,1";"";-0.0611864626621599;0.00882386145579724;0.0911799886658281;1.43756386534479;0.416298436630838;-19.372608664067;-59.372608664067;0.0158059720004268;"";"12";"04";"18";0.003;0.003;0.0025;0.550000000000003;-30.7663493728003;-0.0423037303876006;0.00353995483414513;0.00692955855316978;"robust linear";2018-04-12;"10:28";"b3";5;25;"field pea";"100";"interrow";"3"
"12_04_18_CS10_16";"CS10";16;-0.009731455952936;0.00360319591902961;0.114103337186694;1.22447008833941;-13.5066460868615;Inf;0.0298761222739026;-0.885896662813306;"";-0.0105121299542037;0.00234952260613668;0.040330196309719;1.23662629778772;"1,0.31,1,1";"";-0.0499401176750544;0.0359118609696728;0.396887257287542;9.15669867277474;1.13599886995403;-18.4712049721286;-58.4712049721286;0.0176911285987322;"";"12";"04";"18";0.003;0.003;0.0025;0.550000000000003;-7.07742251122614;-0.0105121299542037;0.00234952260613668;0.040330196309719;"robust linear";2018-04-12;"10:30";"b3";5;25;"field pea";"50";"interrow";"3"
"12_04_18_CS10_17";"CS10";17;-0.0367079197299854;0.00581582661199741;0.024194447984255;1.22213164599234;-9.67655232191854;Inf;0.0482222867943977;-0.975805552015745;"";-0.0367079197299854;0.00581582661199741;0.024194447984255;1.22213164599234;"1,1,1,1";"";-0.0709036900699483;0.0138339820756303;0.122669464652358;2.70436207727362;0.729581366409308;-17.4530406686114;-57.4530406686114;0.0200922434536911;"";"12";"04";"18";0.003;0.003;0.0025;0.549999999999997;-26.696668894535;-0.0367079197299854;0.00581582661199741;0.024194447984255;"robust linear";2018-04-12;"10:32";"c3";5;25;"oat";"50";"interrow";"3"
"12_04_18_CS10_18";"CS10";18;-0.0401027925940917;0.0053765015054441;0.0175036963575328;1.2730885926005;-10.3178628973435;Inf;0.0445074893000699;-0.982496303642467;"";-0.0401027925940917;0.0053765015054441;0.0175036963575328;1.2730885926005;"1,1,1,1";"";-0.0716250871641035;0.0159971810640729;0.139890601248248;2.3432234764978;0.692515752161962;-15.7830335190802;-55.7830335190802;0.0247564172058689;"";"12";"04";"18";0.003;0.003;0.0025;0.549999999999997;-29.1656673411578;-0.0401027925940917;0.0053765015054441;0.0175036963575328;"robust linear";2018-04-12;"10:33";"c3";5;25;"oat";"100";"interrow";"3"
"12_04_18_CS10_2";"CS10";2;-0.0477426051248047;0.00654300591944732;0.0182689151677788;1.28578338917625;-9.91125538112609;Inf;0.0468280982826744;-0.981731084832221;"";-0.0477426051248047;0.00654300591944732;0.0182689151677788;1.28578338917625;"1,1,1,1";"";-0.0858857710871596;0.00368197877216868;0.0272756013055523;2.69766023773288;0.683336143926754;-28.3353576031812;-68.3353576031812;0.00515539750949267;"";"12";"04";"18";0.003;0.003;0.0025;0.483333333333333;-39.511121482597;-0.0477426051248047;0.00654300591944732;0.0182689151677788;"robust linear";2018-04-12;"10:34";"a1";5;25;"no cover";"100";"interrow";"1"
"12_04_18_CS10_3";"CS10";3;-0.0431776888880709;0.00378183326335013;0.00758443395769357;1.30324872187877;-14.6314161179488;Inf;0.0259575710228897;-0.992415566042307;"";-0.0431776888880709;0.00378183326335013;0.00758443395769357;1.30324872187877;"1,1,1,1";"";-0.0610543293567665;0.00799291792346033;0.0828716843673476;1.57294326300723;0.54413504936449;-20.9210458010557;-60.9210458010557;0.0130245130508001;"";"12";"04";"18";0.003;0.003;0.0025;0.466666666666664;-37.0094476183467;-0.0431776888880709;0.00378183326335013;0.00758443395769357;"robust linear";2018-04-12;"10:36";"b1";5;25;"field pea";"100";"interrow";"1"
